Row,TOTAL_0,TOTAL_7,TOTAL_10,TOTAL_20,TOTAL_30,SUIC1_0,SUIC1_7,SUIC1_10,SUIC1_20,SUIC1_30,SHOTS1_0,SHOTS1_7,SHOTS1_10,SHOTS1_20,SHOTS1_30,BURGR1_0,BURGR1_7,BURGR1_10,BURGR1_20,BURGR1_30,OD1_0,OD1_7,OD1_10,OD1_20,OD1_30,ASLTV1_0,ASLTV1_7,ASLTV1_10,ASLTV1_20,ASLTV1_30,MISSC1_0,MISSC1_7,MISSC1_10,MISSC1_20,MISSC1_30
B1,42,16,26,7,10,37,17,27,11,8,60,16,21,1,1,71,8,14,2,5,31,24,24,10,10,32,15,26,15,12,25,50,0,13,13
B2,48,15,23,6,9,57,14,22,4,4,67,8,19,1,5,74,11,11,2,3,30,26,37,2,4,45,19,22,2,13,38,17,33,8,4
B3,45,18,24,6,7,36,23,28,4,9,65,10,14,5,6,69,16,12,2,1,48,20,20,7,7,49,18,20,10,4,50,17,11,11,11
C1,68,15,13,2,2,64,19,13,2,2,88,4,6,0,1,83,12,4,0,1,71,15,10,2,2,64,13,17,4,2,73,9,18,0,0
C2,59,18,18,3,3,58,21,17,3,1,73,10,12,4,2,87,7,4,1,1,70,16,14,0,0,61,22,13,1,3,40,30,20,10,0
C3,67,15,13,3,3,57,20,18,3,3,88,5,4,1,1,87,7,4,0,1,80,9,9,0,3,66,14,15,2,3,38,31,25,6,0
D1,68,13,12,3,4,62,20,13,2,2,90,4,2,0,3,77,7,9,2,5,79,12,9,0,1,70,13,8,2,7,50,0,25,25,0
D2,65,15,14,3,4,73,14,11,1,2,88,4,6,2,0,73,12,8,2,6,73,21,6,0,0,54,24,15,3,4,20,40,40,0,0
D3,57,18,17,4,4,58,18,18,3,3,79,7,10,5,0,79,18,4,0,0,65,22,12,1,0,50,21,21,4,5,67,0,17,17,0
E1,75,11,10,2,2,66,16,15,3,0,86,6,7,2,0,88,7,3,2,0,83,9,5,1,3,77,9,10,3,2,60,0,40,0,0
E2,85,6,6,1,1,70,15,10,4,1,91,5,2,0,2,88,8,0,5,0,87,7,5,0,2,77,10,14,0,0,57,14,29,0,0
E3,64,15,15,3,4,65,14,15,3,3,79,6,15,0,0,84,6,10,0,0,69,15,13,2,1,51,22,16,4,7,50,50,0,0,0
F1,53,20,19,4,5,49,23,22,2,4,63,18,16,2,1,76,11,5,5,3,62,21,15,0,2,50,20,20,4,7,33,15,28,12,12
F2,65,15,13,3,4,62,16,16,3,3,81,12,6,1,1,88,8,3,1,1,58,19,16,5,2,50,23,15,7,6,31,28,25,3,13
F3,44,20,25,5,7,39,24,27,3,6,53,20,19,5,4,68,15,12,2,3,30,38,23,6,2,40,21,27,7,4,27,14,22,11,27
G1,70,12,12,2,3,65,14,14,2,4,93,3,3,0,0,82,5,10,0,3,76,12,10,2,0,68,11,17,3,1,37,32,26,0,5
G2,73,11,11,2,3,63,16,17,5,0,89,4,4,1,2,91,6,2,0,1,83,7,10,0,0,71,14,11,1,3,50,23,13,7,7
G3,64,14,15,3,4,55,13,23,4,5,86,6,5,2,0,88,8,4,1,0,70,11,19,0,0,54,17,19,4,6,57,13,23,0,7
J1,49,20,21,5,6,35,28,27,8,3,65,13,19,1,2,67,12,16,2,3,44,26,14,14,2,46,24,15,8,7,22,6,39,22,11
J2,45,18,23,6,9,37,21,26,5,11,58,19,15,7,1,73,13,8,2,4,43,30,24,3,0,41,14,28,7,10,19,19,45,6,10
J3,49,19,21,5,6,43,22,24,5,6,68,16,8,7,2,82,7,7,2,2,50,25,17,6,3,42,21,22,6,10,64,16,17,2,2
K1,63,15,15,4,4,63,18,13,3,3,87,8,3,3,0,93,7,0,0,0,75,14,8,2,2,64,16,16,0,3,60,20,20,0,0
K2,69,12,13,3,4,64,13,16,4,3,76,10,5,10,0,80,20,0,0,0,77,14,7,2,0,65,15,8,6,6,0,33,67,0,0
K3,71,11,12,2,3,66,14,15,2,3,86,4,9,2,0,78,9,13,0,0,68,18,15,0,0,67,9,13,7,4,83,0,17,0,0
L1,57,17,18,3,4,52,20,21,2,5,63,16,17,2,1,75,14,4,5,2,60,21,17,3,0,62,14,14,8,2,56,16,7,7,14
L2,57,18,17,3,5,55,19,19,4,3,73,8,8,4,7,84,8,6,2,1,56,28,15,2,0,49,21,22,1,7,48,10,28,0,14
L3,58,16,19,3,4,58,19,17,6,2,62,17,13,5,3,81,8,8,2,1,56,20,20,2,2,55,14,26,3,3,42,16,32,3,8
M1,66,14,14,3,3,66,16,11,3,3,89,11,0,0,0,77,23,0,0,0,68,16,16,0,0,65,9,15,6,5,62,23,8,8,0
M2,68,13,12,3,4,67,12,14,4,4,89,0,6,6,0,78,0,11,0,11,75,14,9,2,1,65,16,11,2,6,50,13,13,13,13
M3,72,12,11,3,2,69,14,13,3,2,92,8,0,0,0,100,0,0,0,0,76,10,9,4,2,72,19,5,0,5,20,20,60,0,0
N1,44,20,25,4,7,39,24,28,3,6,65,15,13,4,3,74,14,6,3,2,42,26,24,7,2,41,18,25,7,10,27,23,27,5,18
N2,54,18,19,4,6,45,26,20,5,5,70,16,9,4,2,71,15,9,1,4,59,19,17,2,2,50,19,22,4,7,39,13,35,4,9
N3,65,14,13,3,5,64,20,11,2,2,84,8,6,2,0,82,9,5,3,1,72,19,9,0,0,63,15,13,5,5,46,15,19,12,8
O1,56,17,20,4,4,51,14,25,4,6,75,10,15,0,0,100,0,0,0,0,45,28,28,0,0,47,32,11,5,5,0,0,0,0,0
O2,54,20,18,4,4,52,17,20,9,2,50,20,20,0,10,56,44,0,0,0,43,43,14,0,0,75,16,9,0,0,0,0,0,0,0
O3,58,19,16,3,4,53,22,17,1,8,74,16,5,2,3,75,13,11,0,2,79,14,4,4,0,63,23,11,1,3,29,0,43,14,14
Q1,43,22,24,5,6,42,22,27,4,5,48,14,23,7,8,69,15,10,3,2,48,28,18,4,2,32,29,27,4,8,36,25,32,7,0
Q2,48,20,22,4,5,43,26,23,5,3,56,23,15,1,5,74,16,7,1,2,47,25,21,4,4,52,20,19,3,6,57,20,17,0,7
Q3,59,17,16,4,4,58,20,14,5,2,86,7,3,3,0,74,15,12,0,0,67,18,14,1,0,61,17,14,1,7,45,20,25,0,10
R1,54,19,18,4,5,49,23,20,4,4,70,12,9,6,2,82,6,9,2,2,57,21,20,2,0,51,23,19,5,2,29,26,21,15,9
